,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,(no genres listed)
79702,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
7153,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
99114,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
318,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2028,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
107406,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
54259,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
54503,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159061,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
